,test_image,response,resptime,proband,rotation,image,category,sigma
83,portrait_9_r_4.jpeg,1,1.610745,Louis,True,portrait_9,portrait,4
84,portrait_8_r_7.jpeg,1,2.697443,Louis,True,portrait_8,portrait,7
85,art_7_4.jpeg,1,0.989366,Louis,False,art_7,art,4
86,art_4_12.jpeg,5,3.487087,Louis,False,art_4,art,12
87,portrait_10_r_12.jpeg,3,4.843287,Louis,True,portrait_10,portrait,12
88,portrait_3_4.jpeg,1,1.644162,Louis,False,portrait_3,portrait,4
89,nature_7_r_12.jpeg,4,6.563693,Louis,True,nature_7,nature,12
90,nature_5_r_12.jpeg,2,4.698683,Louis,True,nature_5,nature,12
91,art_1_r_7.jpeg,3,13.775184,Louis,True,art_1,art,7
92,portrait_1_r_4.jpeg,1,6.863905,Louis,True,portrait_1,portrait,4
93,nature_7_12.jpeg,4,2.814765,Louis,False,nature_7,nature,12
94,portrait_6_20.jpeg,5,10.506534,Louis,False,portrait_6,portrait,20
95,art_10_7.jpeg,2,2.698253,Louis,False,art_10,art,7
96,portrait_4_r_12.jpeg,2,1.890809,Louis,True,portrait_4,portrait,12
97,nature_3_7.jpeg,2,2.463675,Louis,False,nature_3,nature,7
98,art_7_r.jpeg,5,1.872547,Louis,True,art_7,art,original
99,portrait_9_r.jpeg,5,2.325077,Louis,True,portrait_9,portrait,original
100,portrait_10_4.jpeg,1,1.323724,Louis,False,portrait_10,portrait,4
101,nature_7_20.jpeg,5,6.542552,Louis,False,nature_7,nature,20
102,nature_4_7.jpeg,3,2.845655,Louis,False,nature_4,nature,7
103,art_4_r_20.jpeg,5,1.836739,Louis,True,art_4,art,20
104,art_5_r_20.jpeg,3,15.43825,Louis,True,art_5,art,20
105,nature_1.jpeg,4,4.061463,Louis,False,nature_1,nature,original
106,nautre_9_r_4.jpeg,1,3.234107,Louis,True,nautre_9,nautre,4
107,art_7_r_7.jpeg,1,1.212972,Louis,True,art_7,art,7
108,portrait_4_12.jpeg,2,2.27944,Louis,False,portrait_4,portrait,12
109,nature_3_12.jpeg,4,1.655298,Louis,False,nature_3,nature,12
110,art_2_r.jpeg,3,2.448954,Louis,True,art_2,art,original
111,portrait_3_r_20.jpeg,5,2.110717,Louis,True,portrait_3,portrait,20
112,nature_5_r_4.jpeg,1,1.356373,Louis,True,nature_5,nature,4
113,art_6_r_20.jpeg,2,2.635577,Louis,True,art_6,art,20
114,portrait_5_r.jpeg,5,2.704898,Louis,True,portrait_5,portrait,original
115,art_1.jpeg,5,1.249717,Louis,False,art_1,art,original
116,portrait_8_7.jpeg,2,1.186516,Louis,False,portrait_8,portrait,7
117,nature_10_r_12.jpeg,2,1.631529,Louis,True,nature_10,nature,12
118,nature_7_r.jpeg,3,1.942459,Louis,True,nature_7,nature,original
119,portrait_2_20.jpeg,4,4.137182,Louis,False,portrait_2,portrait,20
120,nature_5_r.jpeg,5,4.762354,Louis,True,nature_5,nature,original
121,art_3_r_4.jpeg,1,1.44815,Louis,True,art_3,art,4
122,art_4_4.jpeg,2,3.651606,Louis,False,art_4,art,4
123,art_7_r_20.jpeg,3,1.916423,Louis,True,art_7,art,20
124,art_2_r_4.jpeg,1,1.93053,Louis,True,art_2,art,4
125,portrait_10_r_20.jpeg,4,1.80474,Louis,True,portrait_10,portrait,20
126,portrait_2_r.jpeg,5,6.127705,Louis,True,portrait_2,portrait,original
127,portrait_3_r_7.jpeg,2,2.287595,Louis,True,portrait_3,portrait,7
128,art_10_12.jpeg,2,6.539846,Louis,False,art_10,art,12
129,art_8_r_20.jpeg,2,1.808861,Louis,True,art_8,art,20
130,portrait_10_20.jpeg,3,4.693585,Louis,False,portrait_10,portrait,20
131,art_3_4.jpeg,1,0.973869,Louis,False,art_3,art,4
132,art_4_r_7.jpeg,3,5.546993,Louis,True,art_4,art,7
133,nature_6_r_20.jpeg,4,8.491077,Louis,True,nature_6,nature,20
134,nature_4_r_4.jpeg,1,4.009099,Louis,True,nature_4,nature,4
135,art_9_r_4.jpeg,1,0.863227,Louis,True,art_9,art,4
136,art_10_r.jpeg,3,4.588862,Louis,True,art_10,art,original
137,nature_7_7.jpeg,2,1.970212,Louis,False,nature_7,nature,7
138,portrait_7_r_12.jpeg,3,5.033304,Louis,True,portrait_7,portrait,12
139,nature_1_7.jpeg,2,4.310924,Louis,False,nature_1,nature,7
140,portrait_1_r.jpeg,5,5.253007,Louis,True,portrait_1,portrait,original
141,nature_2.jpeg,5,9.871513,Louis,False,nature_2,nature,original
142,art_9_r.jpeg,5,4.913746,Louis,True,art_9,art,original
143,art_4_7.jpeg,5,1.112755,Louis,False,art_4,art,7
144,nautre_9_7.jpeg,2,1.469736,Louis,False,nautre_9,nautre,7
145,portrait_9_r_12.jpeg,2,1.783541,Louis,True,portrait_9,portrait,12
146,nautre_8_r_12.jpeg,3,2.046227,Louis,True,nautre_8,nautre,12
147,art_5_r_4.jpeg,1,1.665285,Louis,True,art_5,art,4
148,nature_1_20.jpeg,4,9.389567,Louis,False,nature_1,nature,20
149,portrait_5.jpeg,3,21.78044,Louis,False,portrait_5,portrait,original
150,art_1_7.jpeg,4,4.161772,Louis,False,art_1,art,7
151,art_4.jpeg,5,4.594043,Louis,False,art_4,art,original
152,portrait_8_r_20.jpeg,3,7.982813,Louis,True,portrait_8,portrait,20
153,nature_5_r_7.jpeg,2,1.32364,Louis,True,nature_5,nature,7
154,art_1_r.jpeg,5,5.111044,Louis,True,art_1,art,original
155,art_3_20.jpeg,2,3.43099,Louis,False,art_3,art,20
156,nautre_9_20.jpeg,3,2.382768,Louis,False,nautre_9,nautre,20
157,art_5_r_12.jpeg,2,1.376098,Louis,True,art_5,art,12
158,art_2_7.jpeg,2,5.413952,Louis,False,art_2,art,7
159,portrait_6_r_4.jpeg,1,1.497115,Louis,True,portrait_6,portrait,4
160,portrait_4_r_20.jpeg,2,3.395107,Louis,True,portrait_4,portrait,20
161,portrait_7.jpeg,4,4.50456,Louis,False,portrait_7,portrait,original
162,art_8_4.jpeg,2,1.389315,Louis,False,art_8,art,4
163,nature_10_r.jpeg,3,2.620009,Louis,True,nature_10,nature,original
164,nature_1_12.jpeg,3,3.208369,Louis,False,nature_1,nature,12
165,art_9.jpeg,4,1.748504,Louis,False,art_9,art,original
166,nautre_8_12.jpeg,3,2.912779,Louis,False,nautre_8,nautre,12
167,nature_10_r_7.jpeg,2,1.673023,Louis,True,nature_10,nature,7
168,art_8.jpeg,3,3.179814,Louis,False,art_8,art,original
169,nature_1_r_7.jpeg,3,2.08398,Louis,True,nature_1,nature,7
170,portrait_7_r_4.jpeg,1,1.553262,Louis,True,portrait_7,portrait,4
171,portrait_3_12.jpeg,3,3.757829,Louis,False,portrait_3,portrait,12
172,art_5_r.jpeg,3,1.795193,Louis,True,art_5,art,original
173,portrait_5_20.jpeg,3,2.69009,Louis,False,portrait_5,portrait,20
174,portrait_6.jpeg,5,39.792176,Louis,False,portrait_6,portrait,original
175,nature_2_20.jpeg,3,1.54324,Louis,False,nature_2,nature,20
176,nature_3_4.jpeg,1,1.421367,Louis,False,nature_3,nature,4
177,nautre_9.jpeg,4,4.319022,Louis,False,nautre_9,nautre,original
178,art_3.jpeg,3,3.657644,Louis,False,art_3,art,original
179,portrait_8_12.jpeg,2,2.349778,Louis,False,portrait_8,portrait,12
180,art_6_r_12.jpeg,3,2.607976,Louis,True,art_6,art,12
181,nature_3_r_12.jpeg,4,2.56063,Louis,True,nature_3,nature,12
182,nautre_8_r_4.jpeg,1,1.687178,Louis,True,nautre_8,nautre,4
183,art_1_4.jpeg,2,2.123823,Louis,False,art_1,art,4
184,nature_1_r_4.jpeg,2,3.867908,Louis,True,nature_1,nature,4
185,portrait_6_r.jpeg,4,5.908838,Louis,True,portrait_6,portrait,original
186,art_10_r_12.jpeg,5,5.370555,Louis,True,art_10,art,12
187,nature_5_12.jpeg,2,1.708697,Louis,False,nature_5,nature,12
188,portrait_2_r_20.jpeg,3,4.077006,Louis,True,portrait_2,portrait,20
189,art_6.jpeg,3,6.216539,Louis,False,art_6,art,original
190,nature_2_r_4.jpeg,1,1.333942,Louis,True,nature_2,nature,4
191,art_5_7.jpeg,1,1.760104,Louis,False,art_5,art,7
192,nature_5_r_20.jpeg,4,3.537575,Louis,True,nature_5,nature,20
193,art_7_r_4.jpeg,1,1.366792,Louis,True,art_7,art,4
194,nature_6_4.jpeg,1,0.961709,Louis,False,nature_6,nature,4
195,art_1_r_12.jpeg,4,1.979655,Louis,True,art_1,art,12
196,nature_1_4.jpeg,1,2.655554,Louis,False,nature_1,nature,4
197,portrait_10_12.jpeg,2,1.782596,Louis,False,portrait_10,portrait,12
198,nautre_9_r_7.jpeg,1,4.543254,Louis,True,nautre_9,nautre,7
199,nature_2_r_12.jpeg,1,1.172606,Louis,True,nature_2,nature,12
200,art_8_r_4.jpeg,2,6.688248,Louis,True,art_8,art,4
201,portrait_10.jpeg,4,6.187784,Louis,False,portrait_10,portrait,original
202,portrait_5_r_4.jpeg,1,3.123858,Louis,True,portrait_5,portrait,4
203,nature_4_20.jpeg,3,9.727026,Louis,False,nature_4,nature,20
204,art_3_r.jpeg,3,2.317578,Louis,True,art_3,art,original
205,portrait_10_r.jpeg,4,1.726634,Louis,True,portrait_10,portrait,original
206,nautre_9_r_12.jpeg,2,2.250204,Louis,True,nautre_9,nautre,12
207,nature_4_r_20.jpeg,4,1.947829,Louis,True,nature_4,nature,20
208,art_3_12.jpeg,1,1.404937,Louis,False,art_3,art,12
209,nature_2_r.jpeg,4,1.343571,Louis,True,nature_2,nature,original
210,art_4_r_4.jpeg,2,2.087101,Louis,True,art_4,art,4
211,portrait_6_r_12.jpeg,2,1.917169,Louis,True,portrait_6,portrait,12
212,art_8_20.jpeg,2,2.982198,Louis,False,art_8,art,20
213,portrait_1_r_20.jpeg,5,2.210176,Louis,True,portrait_1,portrait,20
214,portrait_10_r_7.jpeg,2,1.477337,Louis,True,portrait_10,portrait,7
215,art_1_r_20.jpeg,5,1.881081,Louis,True,art_1,art,20
216,portrait_4_20.jpeg,2,1.433939,Louis,False,portrait_4,portrait,20
217,portrait_1_4.jpeg,1,1.230913,Louis,False,portrait_1,portrait,4
218,art_7_7.jpeg,1,1.330214,Louis,False,art_7,art,7
219,portrait_7_r_20.jpeg,4,3.016833,Louis,True,portrait_7,portrait,20
220,nature_7.jpeg,5,1.786396,Louis,False,nature_7,nature,original
221,art_3_r_20.jpeg,2,7.047452,Louis,True,art_3,art,20
222,art_8_r.jpeg,4,4.437482,Louis,True,art_8,art,original
223,art_10_4.jpeg,1,1.373607,Louis,False,art_10,art,4
